
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

This is Ipopt version 3.14.5, running with linear solver ma27.

Number of nonzeros in equality constraint Jacobian...:       55
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:       25

Total number of variables............................:       16
                     variables with only lower bounds:        1
                variables with lower and upper bounds:        8
                     variables with only upper bounds:        0
Total number of equality constraints.................:       12
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  93 -5.6338909e+02 1.78e-15 8.45e-07  -8.6 8.28e+01    -  1.00e+00 1.00e+00h  1
  94 -5.6338909e+02 7.45e-09 1.06e-06  -8.6 4.92e+01    -  1.00e+00 1.00e+00h  1
  95 -5.6338909e+02 5.44e-16 2.02e-06  -8.6 6.68e+01    -  1.00e+00 5.00e-01h  2
  96 -5.6338909e+02 4.44e-16 8.45e-07  -8.6 1.39e+02    -  1.00e+00 1.00e+00H  1
  97 -5.6338909e+02 1.78e-15 1.06e-06  -8.6 1.20e+02    -  1.00e+00 1.00e+00h  1
  98 -5.6338909e+02 7.45e-09 1.08e-07  -8.6 9.27e+00    -  1.00e+00 1.00e+00h  1
  99 -5.6338909e+02 1.46e-15 8.45e-07  -8.6 4.25e+01    -  1.00e+00 5.00e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100 -5.6338909e+02 7.45e-09 8.45e-07  -8.6 2.38e+01    -  1.00e+00 2.50e-01h  3
 101 -5.6338909e+02 7.45e-09 2.02e-06  -8.6 7.02e+01    -  1.00e+00 1.00e+00h  1
 102 -5.6338909e+02 7.45e-09 5.52e-07  -8.6 9.64e+01    -  1.00e+00 5.00e-01h  2
 103 -5.6338909e+02 7.45e-09 8.45e-07  -8.6 2.28e+01    -  1.00e+00 1.00e+00h  1
 104 -5.6338909e+02 6.71e-16 1.06e-06  -8.6 2.95e+01    -  1.00e+00 1.00e+00H  1
 105 -5.6338909e+02 1.01e-15 1.06e-06  -8.6 7.51e+01    -  1.00e+00 2.50e-01h  3
 106 -5.6338909e+02 1.78e-15 1.75e-07  -8.6 1.12e+02    -  1.00e+00 1.00e+00H  1
 107 -5.6338909e+02 4.44e-16 1.06e-06  -8.6 1.71e+01    -  1.00e+00 1.00e+00h  1
 108 -5.6338909e+02 8.88e-16 1.06e-06  -8.6 2.57e+00    -  1.00e+00 2.50e-01h  3
 109 -5.6338909e+02 8.88e-16 2.02e-06  -8.6 4.59e+01    -  1.00e+00 5.00e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110 -5.6338909e+02 4.65e-16 2.02e-06  -8.6 3.45e+01    -  1.00e+00 5.00e-01h  2
 111 -5.6338909e+02 1.42e-15 1.06e-06  -8.6 3.33e+01    -  1.00e+00 3.12e-02h  6
 112 -5.6338909e+02 1.34e-15 8.45e-07  -8.6 5.73e+01    -  1.00e+00 1.00e+00h  1
 113 -5.6338909e+02 3.04e-16 8.45e-07  -8.6 1.13e+02    -  1.00e+00 1.00e+00H  1
 114 -5.6338909e+02 5.46e-16 1.08e-07  -8.6 1.36e+02    -  1.00e+00 1.00e+00h  1
 115 -5.6338909e+02 7.45e-09 1.14e-07  -8.6 4.51e+01    -  1.00e+00 1.00e+00H  1
 116 -5.6338909e+02 7.45e-09 3.02e-07  -8.6 5.59e+01    -  1.00e+00 2.50e-01h  3
 117 -5.6338909e+02 2.22e-16 1.08e-07  -8.6 2.06e+00    -  1.00e+00 5.00e-01h  2
 118 -5.6338909e+02 4.44e-16 1.06e-06  -8.6 4.30e+01    -  1.00e+00 1.00e+00h  1
 119 -5.6338909e+02 4.44e-16 1.08e-07  -8.6 1.35e+01    -  1.00e+00 3.12e-02h  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120 -5.6338909e+02 4.44e-16 1.75e-07  -8.6 1.65e+01    -  1.00e+00 1.00e+00H  1
 121 -5.6338909e+02 1.78e-15 1.08e-07  -8.6 6.79e+01    -  1.00e+00 1.00e+00H  1
 122 -5.6338909e+02 1.78e-15 2.02e-06  -8.6 3.58e+01    -  1.00e+00 1.00e+00H  1
 123 -5.6338909e+02 1.78e-15 1.08e-07  -8.6 3.89e+01    -  1.00e+00 5.00e-01h  2
 124 -5.6338909e+02 4.44e-16 8.45e-07  -8.6 5.25e+01    -  1.00e+00 1.00e+00H  1
 125 -5.6338909e+02 1.78e-15 8.45e-07  -8.6 6.94e+01    -  1.00e+00 1.00e+00h  1
 126 -5.6338909e+02 7.45e-09 1.06e-06  -8.6 3.99e+01    -  1.00e+00 5.00e-01h  2
 127 -5.6338909e+02 1.78e-15 4.52e-07  -8.6 6.29e+01    -  1.00e+00 2.50e-01h  3
 128 -5.6338909e+02 7.45e-09 8.45e-07  -8.6 1.03e+01    -  1.00e+00 5.00e-01h  2
 129 -5.6338909e+02 8.88e-16 1.06e-06  -8.6 1.86e+01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130 -5.6338909e+02 5.71e-16 1.80e-06  -8.6 2.69e+01    -  1.00e+00 1.00e+00h  1
 131 -5.6338909e+02 2.22e-16 2.02e-06  -8.6 1.00e+02    -  1.00e+00 1.00e+00h  1
 132 -5.6338909e+02 1.35e-15 8.45e-07  -8.6 1.38e+02    -  1.00e+00 1.00e+00h  1
 133 -5.6338909e+02 1.78e-15 8.45e-07  -8.6 7.62e+01    -  1.00e+00 5.00e-01h  2
 134 -5.6338909e+02 1.78e-15 8.45e-07  -8.6 1.78e+01    -  1.00e+00 1.00e+00h  1
 135 -5.6338909e+02 4.44e-16 2.02e-06  -8.6 4.40e+01    -  1.00e+00 1.00e+00h  1
 136 -5.6338909e+02 4.67e-16 8.45e-07  -8.6 7.25e+01    -  1.00e+00 1.00e+00h  1
 137 -5.6338909e+02 6.84e-16 1.06e-06  -8.6 6.84e+01    -  1.00e+00 5.00e-01h  2
 138 -5.6338909e+02 2.22e-16 1.71e-07  -8.6 3.52e+01    -  1.00e+00 5.00e-01h  2
 139 -5.6338909e+02 2.22e-16 8.45e-07  -8.6 5.28e+01    -  1.00e+00 5.00e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140 -5.6338909e+02 8.88e-16 2.02e-06  -8.6 7.51e+01    -  1.00e+00 1.00e+00h  1
 141 -5.6338909e+02 4.44e-16 1.80e-06  -8.6 6.84e+01    -  1.00e+00 1.00e+00H  1
 142 -5.6338909e+02 7.45e-09 8.45e-07  -8.6 3.41e+01    -  1.00e+00 1.00e+00H  1
 143 -5.6338909e+02 7.45e-09 8.45e-07  -8.6 2.64e+01    -  1.00e+00 2.50e-01h  3
 144 -5.6338909e+02 7.45e-09 1.80e-06  -8.6 4.78e+01    -  1.00e+00 2.50e-01h  3
 145 -5.6338909e+02 4.44e-16 1.24e-07  -8.6 1.25e+02    -  1.00e+00 1.00e+00h  1
 146 -5.6338909e+02 2.22e-16 8.45e-07  -8.6 7.46e+01    -  1.00e+00 1.25e-01h  4
 147 -5.6338909e+02 9.93e-16 3.92e-06  -8.6 3.58e+01    -  1.00e+00 5.00e-01h  2
 148 -5.6338909e+02 7.45e-09 2.75e-06  -8.6 9.35e+01    -  1.00e+00 1.00e+00H  1
